Once B-signal
the B-activity
dates I-activity
are I-activity
finalized I-activity
( I-activity
by I-activity
the I-activity
Coordination I-activity
Unit I-activity
) I-activity
, punctuation
the B-activity
Support I-activity
Officer I-activity
updates I-activity
all I-activity
group I-activity
calendars I-activity
and I-activity
creates I-activity
meeting I-activity
folders I-activity
for I-activity
each I-activity
meeting I-activity
and I-activity
ensures I-activity
all I-activity
appropriate I-activity
documents I-activity
are I-activity
uploaded I-activity
to I-activity
system I-activity
. punctuation
Committee B-activity
Members I-activity
are I-activity
advised I-activity
a I-activity
week I-activity
before I-activity
each I-activity
meeting I-activity
to I-activity
read I-activity
all I-activity
related I-activity
documents I-activity
. punctuation
The B-activity
Committee I-activity
Members I-activity
hold I-activity
their I-activity
meeting I-activity
, punctuation
and O
the B-activity
Support I-activity
Office I-activity
then I-activity
produces I-activity
minutes I-activity
including I-activity
any I-activity
Action I-activity
Points I-activity
for I-activity
each I-activity
Committee I-activity
Member I-activity
. punctuation
Within B-activity
5 I-activity
working I-activity
days I-activity
, I-activity
the B-activity
Coordination I-activity
Unit I-activity
must I-activity
conduct I-activity
a I-activity
QA I-activity
check I-activity
on I-activity
the I-activity
minutes I-activity
, punctuation
the B-activity
QA I-activity
check I-activity
are I-activity
then I-activity
sent I-activity
to I-activity
all I-activity
Committee I-activity
Members I-activity
. punctuation
The B-activity
Support I-activity
Officer I-activity
then I-activity
updates I-activity
all I-activity
departmental I-activity
records I-activity
. punctuation
